成功,せいこう
政治,せいじ
性質,せいしつ
精神,せいしん
成績,せいせき
製造,せいぞう
贅沢,ぜいたく
成長,せいちょう
生徒,せいと
制度,せいど
政党,せいとう
青年,せいねん
政府,せいふ
西洋,せいよう
整理,せいり
世界,せかい
咳,せき
石炭,せきたん
責任,せきにん
石油,せきゆ
折角,せっかく
石鹸,せっけん
絶対,ぜったいに
設備,せつび
説明,せつめい
背中,せなか
是非,ぜひ
背広,せびろ
狭,せまい
せめる,せめる
ゼロ,ぜろ
世話,せわ
千,せん
前,ぜん
選挙,せんきょ
先月,せんげつ
全国,ぜんこく
選手,せんしゅ
先週,せんしゅう
先生,せんせい
全然,ぜんぜん
戦争,せんそう
全体,ぜんたい
洗濯,せんたく
センチ,せんち
全部,ぜんぶ
専門,せんもん
相,そう
掃除,そうじ
葬式,そうしき
想像,そうぞう
相談,そうだん
底,そこ
そこで,そこで
組織,そしき
そして,そして
育,そだつ
育,そだてる
卒業,そつぎょう
外,そと
其,その
そのうえ,そのうえ
傍,そば
空,そら
剃,そる
それ,それ
それから,それから
それぞれ,それぞれ
それで,それで
それでは,それでは
それとも,それとも
それに,それに
揃,そろう
揃,そろえる
損,そん
尊敬,そんけい
存在,そんざい
そんな,そんな
台,だい
大学,だいがく
大使,たいし
大事,だいじ
大,たいして
大丈夫,だいじょうぶ
大臣,だいじん
対,たいする
大切,たいせつ
体操,たいそう
大体,だいたい
大抵,たいてい
態度,たいど
台所,たいどころ
代表,だいひょう
台風,たいふう
大変,たいへん
太陽,たいよう
平,たいら
倒,たおす
倒,たおれる
高,たかい
互,たがい
だから,だから
たく,たく
抱,だく
たくさん,たくさん
タクシー,たくしー
確,たしか
確,たしかめる
足,たす
出,だす
助,たすける
たずねる,たずねる
只,ただ
只今,ただいま
戦,たたかう
叩,たたく
正,ただしい
畳,たたみ
畳,たたむ
立場,たちば
たつ,たつ
だって,だって
縦,たて
建物,たてもの
たてる,たてる
たとえ,たとえ
たとえば,たとえば
棚,たな
谷,たに
他人,たにん
種,たね
楽,たのしい
楽,たのしむ
頼,たのむ
束,たば
タバコ,たばこ
度,たび
たびたび,たびたび
多分,たぶん
食物,たべもの
食,たべる
たま,たま
卵,たまご
だます,だます
溜,たまる
黙,だまる
為,ため
駄目,だめ
試,ためす
ためる,ためる
頼,たよる
足,たりる
誰,だれ
誰,だれか
段階,だんかい
単語,たんご
誕生,たんじょう
誕生日,たんじょうび
たんす,たんす
男性,だんせい
団体,だんたい
だんだん,だんだん
血,ち
小,ちいさいな
チーム,ちーむ
近,ちかい
違,ちがい
違,ちがう
近,ちかく
近付,ちかづく
地下鉄,ちかてつ
近寄,ちかよる
力,ちから
地球,ちきゅう
知識,ちしき
地図,ちず
父,ちち
ちっとも,ちっとも
地方,ちほう
茶,ちゃ
茶色,ちゃいろ
茶碗,ちゃわん
ちゃんと,ちゃんと
中,ちゅう
注意,ちゅうい
中央,ちゅうおう
中学校,ちゅうがっこう
中国,ちゅうごく
中止,ちゅうし
注射,ちゅうしゃ
中心,ちゅうしん
注文,ちゅうもん
長,ちょう
調査,ちょうさ
調子,ちょうし
長所,ちょうしょ
ちょうど,ちょうど
貯金,ちょきん
直接,ちょくせつ
ちょっと,ちょっと
地理,ちり
散,ちる
一日,ついたち
序,ついで
遂,ついに
通過,つうか
通学,つうがく
使,つかい
使,つかう
捕,つかまえる
掴,つかむ
疲,つかれる
月,つき
次,つぎ
つく,つく
机,つくえ
作,つくる
漬物,つけもの
つける,つける
都合,つごう
伝,つたえる
土,つち
続,つづく
続,つづける
包,つつむ
つとめる,つとめる
繋,つなぐ
常,つねに
粒,つぶ
潰,つぶれる
妻,つま
つまらない,つまらない
つまり,つまり
罪,つみ
積,つむ
爪,つめ
冷,つめたい
詰,つめる
つもり,つもり
梅雨,つゆ
強,つよい
連,つれる
手,て
で,で
訂正,ていせい
程度,ていど
丁寧,ていねい
テーブル,てーぶる
出掛,でかける
手紙,てがみ
敵,てき
適当,てきとう
適用,てきよう
出来,できる
出口,でぐち
ですから,ですから
鉄,てつ
手伝,てつだう
鉄道,てつどう
テニス,てにす
では,では
デパート,でぱーと
手袋,てぶくろ
でも,でも
寺,てら
照,てらす
照,てる
出,でる
テレビ,てれび
点,てん
天気,てんき
電気,でんき
電車,でんしゃ
天井,てんじょう
電燈,でんとう
天皇,てんのう
電報,でんぽう
電話,でんわ
戸,と
度,ど
ドア,どあ
問,とい
党,とう
如何,どう
どういたしまして,どういたしまして
どうか,どうか
道具,どうぐ
同時,どうじ
どうして,どうして
どうしても,どうしても
同情,どうじょう
当然,とうぜん
どうぞ,どうぞ
到着,とうちゃく
到頭,とうとう
動物,どうぶつ
どうも,どうも
東洋,とうよう
道路,どうろ
十,とお
遠,とおい
十日,とおか
遠,とおく
通,とおす
通,とおり
通,とおる
都会,とかい
時,とき
時々,ときとぎ
解,とく
読書,どくしょ
特徴,とくちょう
独特,どくとく
特,とくに
特別,とくべつ
独立,どくりつ
時計,とけい
とける,とける
何処,どこ
どこか,どこか
所,ところ
ところが,ところが
ところで,ところで
年,とし
図書館,としょかん
年寄,としより
閉,とじる
戸棚,とだな
土地,とち
途中,とちゅう
突然,とつぜん
とても,とても
届,とどく
届,とどける
どなた,どなた
隣,となり
とにかく,とにかく
どの,どの
飛,とぶ
トマト,とまと
とまる,とまる
とめる,とめる
友達,ともだち
鳥,とり
取換,とりかえる
努力,どりょく
とる,とる
どれ,どれ
泥棒,どろぼう
どんどん,どんどん
どんな,どんな
無,ない
ナイフ,ないふ
内容,ないよう
なお,なお
なおす,なおす
なおる,なおる
中,なか
長,ながい
長,ながさ
流,ながす
なかなか,なかなか
仲間,なかま
眺,ながめる
流,ながれる
なく,なく
無,なくす
無,なくなる
投,なげる
なさる,なさる
なぜ,なぜ
夏,なつ
懐,なつかしい
七,なな
七,ななつ
斜,ななめ
何,なにか
鍋,なべ
生,なま
名前,なまえ
波,なみ
涙,なみだ
滑,なめらか
悩,なやむ
ならう,ならう
並,ならぶ
並,ならべる
なる,なる
なるべく,なるべく
成程,なるほど
慣,なれる
なんて,なんて
二,に
兄,にいさん
匂,におい
匂,におう
苦,にがい
賑,にぎやか
握,にぎる
肉,にく
にくい,にくい
憎,にくむ
逃,にげる
にこにこ,にこにこ
西,にし
日記,にっき
日光,にっこう
日本語,にほんご
日本人,にほんじん
荷物,にもつ
入学,にゅうがく
ニュース,にゅーす
似,にる
庭,にわ
鶏,にわとり
人気,にんき
人形,にんぎょう
人間,にんげん
縫,ぬう
抜,ぬく
脱,ぬぐ
盗,ぬすむ
塗,ぬる
ぬるい,ぬるい
濡,ぬれる
ね,ね
姉,ねえさん
願,ねがい
願,ねがう
ネクタイ,ねくたい
猫,ねこ
値段,ねだん
熱,ねつ
熱心,ねっしん
眠,ねむい
眠,ねむる
寝,ねる
燃料,ねんりょう
野,の
農業,のうぎょう
能力,のうりょく
ノート,のーと
残,のこす
残,のこる
乗,のせる
望,のぞむ
後,のち
喉,のど
のばす,のばす
のびる,のびる
述,のべる
上,のぼり
のぼる,のぼる
飲物,のみもの
飲,のむ
糊,のり
乗換,のりかえる
乗物,のりもの
乗,のる
刃,は
場合,ばあい
灰,はい
倍,ばい
入,はいる
生,はえる
墓,はか
馬鹿,ばか
葉書,はがき
はかる,はかる
履,はく
拍手,はくしゅ
激,はげしい
箱,はこ
運,はこぶ
鋏,はさみ
はさむ,はさむ
端,はし
恥,はじ
始,はじまる
はじめ,はじめ
はじめて,はじめて
始,はじめる
場所,ばしょ
柱,はしら
走,はしる
はず,はず
バス,ばす
恥,はずかしい
はずす,はずす
旗,はた
ハダー,はだー
裸,はだか
畑,はたけ
二十,はたち
働,はたらく
八,はち
発音,はつおん
二十日,はつか
はっきり,はっきり
発見,はっけん
発行,はっこう
発達,はったつ
発展,はってん
発表,はっぴょう
発明,はつめい
派手,はで
花,はな
話,はなし
話,はなす
はなれる,はなれる
はね,はね
母,はは
幅,はば
嵌,はめる
場面,ばめん
はやい,はやい
林,はやし
流行,はやる
腹,はら
払,はらう
針,はり
春,はる
晴,はれ
晴,はれる
晩,ばん
パン,ぱん
範囲,はんい
ハンカチ,はんかち
番組,ばんぐみ
番号,ばんごう
反対,はんたい
判断,はんだん
番地,ばんち
半分,はんぶん
日,ひ
ピアノ,ぴあの
ビール,びーる
冷,ひえる
比較,ひかく
東,ひがし
光,ひかり
光,ひかる
抽斗,ひきだし
引,ひく
低,ひくい
髭,ひげ
飛行機,ひこうき
膝,ひざ
久,ひさしぶり
美術,びじゅつ
非常,ひじょう
左,ひだり
びっくり,びっくり
日付,ひづけ
引越,ひっこす
引張,ひっぱる
必要,ひつよう
否定,ひてい
人,ひと
ひどい,ひどい
人柄,ひとがら
等,ひとしい
一,ひとつ
ひとり,ひとり
皮膚,ひふ
暇,ひま
紐,ひも
百,ひゃく
冷,ひやす
表,ひょう
費用,ひよう
秒,びょう
病院,びょういん
病気,びょうき
表現,ひょうげん
表紙,ひょうし
表情,ひょうじょう
平等,びょうどう
病人,びょうにん
評判,ひょうばん
平仮名,ひらがな
開,ひらく
昼,ひる
昼間,ひるま
広,ひろい
拾,ひろう
広,ひろがる
広,ひろげる
瓶,びん
貧乏,びんぼう
不安,ふあん
風,ふう
封筒,ふうとう
夫婦,ふうふ
ふえる,ふえる
深,ふかい
吹,ふく
複雑,ふくざつ
服装,ふくそう
含,ふくむ
袋,ふくろ
不幸,ふこう
無事,ぶじ
不思議,ふしぎ
部首,ぶしゅ
婦人,ふじん
防,ふせぐ
不足,ふそく
蓋,ふた
豚,ぶた
二,ふたつ
二人,ふたり
不断,ふだん
普通,ふつう
二日,ふつか
仏教,ぶっきょう
物理,ぶつり
太,ふとい
太,ふとる
蒲団,ふとん
船,ふね
部分,ぶぶん
不便,ふべん
踏,ふむ
冬,ふゆ
振,ふる
古,ふるい
風呂,ふろ
分,ふん
分,ぶん
文化,ぶんか
文学,ぶんがく
文章,ぶんしょう
文体,ぶんたい
文法,ぶんぽう
塀,へい
平気,へいき
平均,へいきん
平和,へいわ
ページ,ぺーじ
下手,へた
別,べつ
ベット,べっと
部屋,へや
減,へる
ベル,べる
辺,へん
ペン,ぺん
勉強,べんきょう
返事,へんじ
編集,へんしゅう
便所,べんじょ
弁当,べんとう
便利,べんり
母音,ぼいん
方,ほう
棒,ぼう
貿易,ぼうえき
方向,ほうこう
報告,ほうこく
帽子,ぼうし
方針,ほうしん
放送,ほうそう
法則,ほうそく
方法,ほうほう
方々,ほうぼう
方面,ほうめん
訪問,ほうもん
法律,ほうりつ
ボールペン,ぼーるぺん
外,ほか
僕,ぼく
ポケット,ぽけっと
埃,ほこり
星,ほし
欲,ほしい
募集,ぼしゅう
干,ほす
細,ほそい
保存,ほぞん
ボタン,ぼたん
ホテル,ほてる
程,ほど
仏,ほとけ
殆,ほとんど
骨,ほね
頬,ほほ
誉,ほめる
ほら,ほら
掘,ほる
本,ほん
ほんの,ほんの
翻訳,ほんやく
ぼんやり,ぼんやり
まあ,まあ
毎朝,まいあさ
毎週,まいしゅう
毎月,まいつき
毎日,まいにち
毎年,まいねん
毎晩,まいばん
参,まいる
前,まえ
曲,まがる
巻,まく
枕,まくら
負,まける
曲,まげる
孫,まご
真面目,まじめ
まじる,まじる
先,まず
まずい,まずい
貧,まずしい
ますます,ますます
まぜる,まぜる
又,また
未,まだ
又,または
町,まち
間違,まちがい
間違,まちがう
間違,まちがえる
松,まつ
真直,まっすぐ
全,まったく
マッチ,まっち
祭,まつり
窓,まど
纒,まとめる
間合,まにあう
真似,まね
招,まねく
豆,まめ
守,まもる
迷,まよう
丸,まる
丸,まるい
まるで,まるで
回,まわす
回,まわり
回,まわる
万,まん
満員,まんいん
満足,まんぞく
真中,まんなか
万年筆,まんねんひつ
実,み
見,みえる
見送,みおくり
磨,みがく
味方,みかた
蜜柑,みかん
右,みぎ
短,みじかい
水,みず
湖,みずうみ
店,みせ
見,みせる
味噌,みそ
道,みち
三日,みっか
見付,みつかる
見付,みつける
三,みっつ
認,みとめる
緑,みどり
港,みなと
南,みなみ
身分,みぶん
見舞,みまい
耳,みみ
土産,みやげ
未来,みらい
ミリ,みり
魅力,みりょく
みる,みる
ミルク,みるく
六日,むいか
向,むかう
迎,むかえる
昔,むかし
麦,むぎ
向,むく
向,むける
向,むこう
虫,むし
蒸暑,むしあつい
寧,むしろ
難,むずかしい
息子,むすこ
結,むすぶ
娘,むすめ
無駄,むだ
夢中,むちゅう
六,むっつ
胸,むね
村,むら
紫,むらさき
無理,むり
め,め
命令,めいれい
迷惑,めいわく
メートル,めーとる
眼鏡,めがね
召上,めしあがる
珍,めずらしい
めでたい,めでたい
綿,めん
面会,めんかい
面倒,めんどう
もう,もう
申,もうす
毛布,もうふ
燃,もえる
目的,もくてき
若,もし
もしもし,もしもし
用,もちいる
勿論,もちろん
持,もつ
もっと,もっと
尤,もっとも
元,もと
求,もとめる
戻,もどる
もの,もの
模様,もよう
貰,もらう
森,もり
漏,もれる
門,もん
問題,もんだい
八百屋,やおや
やがて,やがて
やかましい,やかましい
野球,やきゅう
焼,やく
役所,やくしょ
約束,やくそく
焼,やける
野菜,やさい
易,やさしい
養,やしなう
やすい,やすい
休,やすみ
休,やすむ
痩,やせる
八,やっつ
やっと,やっと
雇,やとう
屋根,やね
破,やぶる
やぶれる,やぶれる
山,やま
止,やむ
止,やめる
遣,やる
やわらか いな,やわらかいな
湯,ゆ
夕方,ゆうがた
勇気,ゆうき
友情,ゆうじょう
夕食,ゆうしょく
郵便,ゆうびん
