アーケード,あーけーど
完成,かんせい
関税,かんぜい
関節,かんせつ
完全,かんぜん
感想,かんそう
肝臓,かんぞう
観測,かんそく
簡単,かんたん
寒暖計,かんだんけい
官庁,かんちょう
缶詰め,かんづめ
感電,かんでん
乾電池,かんでんち
関東,かんとう
感動,かんどう
感動詞,かんどうし
監督,かんとく
管内,かんない
堪忍,かんにん
神主さん,かんぬしさん
観念,かんねん
乾杯,かんぱい
かんばつ,かんばつ
頑張り,がんばり
看板,かんばん
甲板,かんぱん
看病,かんびょう
幹部,かんぶ
勘弁,かんべん
冠,かんむり
簡約,かんやく
含有量,がんゆうりょう
観覧車,かんらんしゃ
官吏,かんり
官僚,かんりょう
官僚制,かんりょうせい
関連,かんれん
貫禄,かんろく
漢和,かんわ
気合い,きあい
気圧,きあつ
キー,きー
木苺,きいちご
生糸,きいと
黄色,きいろ
議員,ぎいん
希塩酸,きえんさん
記憶,きおく
気温,きおん
機械,きかい
議会,ぎかい
機械化,きかいか
着替え,きがえ
気掛かり,きがかり
きかく,きかく
気兼ね,きがね
期間,きかん
機関庫,きかんこ
機関士,きかんし
機関車,きかんしゃ
危機,きき
ききて,ききて
ききめ,ききめ
気球,ききゅう
帰京,ききょう
企業,きぎょう
戯曲,ぎきょく
聞き分け,ききわけ
菊,きく
器具,きぐ
喜劇,きげき
危険,きけん
機嫌,きげん
気候,きこう
記号,きごう
帰国,きこく
きこり,きこり
ぎざぎざ,ぎざぎざ
刻み,きざみ
岸,きし
きじ,きじ
技師,ぎし
気質,きしつ
期日,きじつ
汽車,きしゃ
技術,ぎじゅつ
基準,きじゅん
キス,きす
傷,きず
奇数,きすう
傷口,きずぐち
犠牲,ぎせい
季節,きせつ
気絶,きぜつ
汽船,きせん
基礎,きそ
規則,きそく
貴族,きぞく
北,きた
ギター,ぎたー
気体,きたい
議題,ぎだい
北風,きたかぜ
北九州,きたきゅうしゅう
帰宅,きたく
気立て,きだて
基地,きち
貴重,きちょう
議長,ぎちょう
貴重品,きちょうひん
喫煙,きつえん
喫茶,きっさ
喫茶店,きっさてん
切手,きって
狐,きつね
切符,きっぷ
切符売り場,きっぷうりば
規定,きてい
汽笛,きてき
木戸,きど
気取り,きどり
記入,きにゅう
絹,きぬ
杵,きね
記念,きねん
記念写真,きねんしゃしん
記念日,きねんび
機能,きのう
きのこ,きのこ
気の毒,きのどく
木の葉,きのは
木登り,きのぼり
木の実,きのみ
牙,きば
基盤,きばん
きび,きび
きびだんご,きびだんご
きふ,きふ
気分,きぶん
規模,きぼ
希望,きぼう
基本,きほん
基本権,きほんけん
基本振動,きほんしんどう
気前,きまえ
気紛れ,きまぐれ
気侭,きまま
きまり,きまり
気味,きみ
君が代,きみがよ
義務,ぎむ
木村,きむら
きも,きも
気持ち,きもち
着物,きもの
疑問,ぎもん
客,きゃく
逆,ぎゃく
客車,きゃくしゃ
脚色,きゃくしょく
脚本,きゃくほん
客間,きゃくま
客観,きゃっかん
キャベツ,きゃべつ
キャラメル,きゃらめる
キャンデー,きゃんでー
キャンプ,きゃんぷ
九,きゅう
休暇,きゅうか
休学,きゅうがく
九官鳥,きゅうかんちょう
救急車,きゅうきゅうしゃ
休業,きゅうぎょう
窮屈,きゅうくつ
休憩,きゅうけい
急行,きゅうこう
球根,きゅうこん
給仕,きゅうじ
休日,きゅうじつ
九州,きゅうしゅう
九十,きゅうじゅう
給食,きゅうしょく
給食室,きゅうしょくしつ
急須,きゅうす
休息,きゅうそく
宮殿,きゅうでん
牛肉,ぎゅうにく
牛乳,ぎゅうにゅう
牛乳屋,ぎゅうにゅうや
急坂,きゅうはん
急病,きゅうびょう
