アーケード,あーけーど
所長さん,しょちょうさん
食器,しょっき
ショック,しょっく
助動詞,じょどうし
所得,しょとく
処罰,しょばつ
処分,しょぶん
初歩,しょほ
庶民,しょみん
庶務,しょむ
署名,しょめい
書物,しょもつ
所有,しょゆう
女優,じょゆう
処理,しょり
書類,しょるい
しらせ,しらせ
調べ,しらべ
知らん顔,しらんかお
知らんぷり,しらんぷり
しり,しり
知り合い,しりあい
シリーズ,しりーず
知りたがり屋,しりたがりや
市立,しりつ
尻取り,しりとり
尻餅,しりもち
支流,しりゅう
資料,しりょう
磁力,じりょく
汁,しる
しるし,しるし
シルバーシート,しるばーしーと
白,しろ
白兎,しろうさぎ
白馬,しろうま
白狐,しろぎつね
白組,しろぐみ
白つめ草,しろつめくさ
しわ,しわ
嗄れ声,しわがれごえ
仕業,しわざ
進学,しんがく
人格,じんかく
新学期,しんがっき
シンガポール,しんがぽーる
新幹線,しんかんせん
進級,しんきゅう
真空,しんくう
神経,しんけい
新劇,しんげき
真剣,しんけん
人権,じんけん
進行,しんこう
信号,しんごう
人口,じんこう
信号機,しんごうき
人口密度,じんこうみつど
深呼吸,しんこきゅう
新婚,しんこん
診察,しんさつ
紳士,しんし
人事,じんじ
寝室,しんしつ
真実,しんじつ
神社,じんじゃ
真珠,しんじゅ
人種,じんしゅ
心中,しんじゅう
進出,しんしゅつ
侵食,しんしょく
新人,しんじん
人身,じんしん
親水,しんすい
神聖,しんせい
人生,じんせい
親戚,しんせき
親切,しんせつ
新鮮,しんせん
親善,しんぜん
真相,しんそう
心臓,しんぞう
身体,しんたい
寝台,しんだい
人体,じんたい
身体検査,しんたいけんさ
診断,しんだん
新築,しんちく
真鍮,しんちゅう
身長,しんちょう
進度,しんど
神道,しんとう
振動,しんどう
振動数,しんどうすう
侵入,しんにゅう
新入生,しんにゅうせい
新年,しんねん
心配,しんぱい
審判,しんぱん
神秘,しんぴ
振幅,しんぷく
神父さん,しんぷさん
人物,じんぶつ
新聞,しんぶん
人文科学,じんぶんかがく
新聞記者,しんぶんきしゃ
新聞社,しんぶんしゃ
進歩,しんぽ
心棒,しんぼう
人民,じんみん
親友,しんゆう
信用,しんよう
信頼,しんらい
真理,しんり
心理学,しんりがく
しんりゃく,しんりゃく
診療,しんりょう
診療所,しんりょうじょ
森林,しんりん
親類,しんるい
人類,じんるい
巣穴,すあな
水,すい
水泳,すいえい
水泳パンツ,すいえいぱんつ
西瓜,すいか
吸殼,すいがら
西瓜割り,すいかわり
水銀,すいぎん
水産,すいさん
水酸化,すいさんか
水産物,すいさんぶつ
炊事,すいじ
水車,すいしゃ
水準,すいじゅん
水蒸気,すいじょうき
推進,すいしん
スイス,すいす
彗星,すいせい
推薦,すいせん
水素,すいそ
水槽,すいそう
推測,すいそく
水族館,すいぞくかん
水素分子,すいそぶんし
水中,すいちゅう
垂直,すいちょく
スイッチ,すいっち
水田,すいでん
水筒,すいとう
水道,すいどう
水爆,すいばく
炊飯器,すいはんき
随筆,ずいひつ
水分,すいぶん
水平,すいへい
水平線,すいへいせん
睡眠,すいみん
水面,すいめん
水曜,すいよう
水溶液,すいようえき
水曜日,すいようび
水利,すいり
推量,すいりょう
水力,すいりょく
数,すう
数学,すうがく
数詞,すうし
数字,すうじ
スーツ,すーつ
スーパー,すーぱー
スーパーマン,すーぱーまん
崇拝,すうはい
スープ,すーぷ
末,すえ
末子,すえこ
図画,ずが
スカート,すかーと
スカーフ,すかーふ
透かし,すかし
姿,すがた
図鑑,ずかん
鋤,すき
杉,すぎ
スキー,すきー
スキー場,すきーじょう
好き嫌い,すききらい
好き好き,すきずき
スキップ,すきっぷ
杉の木山,すぎのきやま
すきま,すきま
透き間風,すきまかぜ
すき焼き,すきやき
頭巾,ずきん
掬い,すくい
スクールバス,すくーるばす
スクリーン,すくりーん
スクリュー,すくりゅー
菅,すげ
図形,ずけい
スケート,すけーと
菅笠,すげがさ
スケッチ,すけっち
スケッチブック,すけっちぶっく
図工,ずこう
図工室,ずこうしつ
双六,すごろく
すし,すし
筋,すじ
煤,すす
鈴,すず
すすき,すすき
鈴木,すずき
進み,すすみ
涼み,すずみ
鈴虫,すずむし
すすめ,すすめ
雀,すずめ
裾,すそ
スター,すたー
スタート,すたーと
スタイル,すたいる
スタジオ,すたじお
簾,すだれ
スタンド,すたんど
スタンプ,すたんぷ
頭痛,ずつう
ステーキ,すてーき
ステージ,すてーじ
ステッカー,すてっかー
ステッキ,すてっき
ステップ,すてっぷ
ステレオ,すてれお
ステンドグラス,すてんどぐらす
ストーブ,すとーぶ
ストップ,すとっぷ
ストライキ,すとらいき
ストレス,すとれす
ストロー,すとろー
砂,すな
砂遊び,すなあそび
砂場,すなば
砂浜,すなはま
砂埃,すなぼこり
すね,すね
簀の子,すのこ
スパイ,すぱい
スパイク,すぱいく
巣箱,すばこ
スピーカー,すぴーかー
スピーチ,すぴーち
スピード,すぴーど
スプーン,すぷーん
ずぶ濡れ,ずぶぬれ
スペイン,すぺいん
スペイン語,すぺいんご
すべて,すべて
すべり,すべり
滑り台,すべりだい
スポーツ,すぽーつ
スポットライト,すぽっとらいと
スポンジ,すぽんじ
住まい,すまい
すまし,すまし
澄まし顔,すましがお
すみ,すみ
墨絵,すみえ
住処,すみか
隅っこ,すみっこ
菫,すみれ
スライド,すらいど
スリッパ,すりっぱ
スリップ,すりっぷ
スリル,すりる
鯣,するめ
すわり,すわり
寸法,すんぽう
精,せい
税,ぜい
生育,せいいく
清音,せいおん
聖火,せいか
正解,せいかい
性格,せいかく
生活,せいかつ
税関,ぜいかん
世紀,せいき
正義,せいぎ
世紀末,せいきまつ
請求,せいきゅう
税金,ぜいきん
背比べ,せいくらべ
清潔,せいけつ
政権,せいけん
制限,せいげん
成功,せいこう
星座,せいざ
制作,せいさく
生産,せいさん
生産性,せいさんせい
生産物,せいさんぶつ
生産量,せいさんりょう
政治,せいじ
政治家,せいじか
正式,せいしき
政治制度,せいじせいど
政治体制,せいじたいせい
性質,せいしつ
誠実,せいじつ
成熟,せいじゅく
青春,せいしゅん
清書,せいしょ
正常,せいじょう
精神,せいしん
成人,せいじん
精神病,せいしんびょう
精製,せいせい
成績,せいせき
清掃,せいそう
製造,せいぞう
生存,せいぞん
生態系,せいたいけい
贅沢,ぜいたく
成長,せいちょう
制定,せいてい
製鉄,せいてつ
晴天,せいてん
生徒,せいと
制度,せいど
政党,せいとう
整頓,せいとん
青年,せいねん
生年月日,せいねんがっぴ
性能,せいのう
整備,せいび
製品,せいひん
政府,せいふ
制服,せいふく
西部劇,せいぶげき
生物,せいぶつ
生物体,せいぶつたい
成分,せいぶん
正方形,せいほうけい
精密,せいみつ
生命,せいめい
正門,せいもん
制約,せいやく
西洋,せいよう
西洋思想,せいようしそう
西洋人,せいようじん
整理,せいり
整理整頓,せいりせいとん
成立,せいりつ
勢力,せいりょく
西暦,せいれき
セーター,せーたー
セーフ,せーふ
世界,せかい
咳,せき
赤外線,せきがいせん
席替え,せきがえ
赤十字,せきじゅうじ
石炭,せきたん
脊柱,せきちゅう
赤道,せきどう
責任,せきにん
石油,せきゆ
世間,せけん
是正,ぜせい
世代,せだい
節,せつ
絶縁,ぜつえん
絶縁体,ぜつえんたい
石灰石,せっかいせき
赤褐色,せっかくしょく
せっかち,せっかち
積極,せっきょく
接近,せっきん
節句,せっく
設計,せっけい
石鹸,せっけん
石膏,せっこう
絶交,ぜっこう
摂氏,せっし
接触,せっしょく
接続,せつぞく
接続詞,せつぞくし
絶対,ぜったい
絶対温度,ぜったいおんど
切断,せつだん
設置,せっち
接着剤,せっちゃくざい
設備,せつび
節分,せつぶん
絶望,ぜつぼう
説明,せつめい
節約,せつやく
設立,せつりつ
瀬戸物,せともの
背中,せなか
銭,ぜに
背伸び,せのび
背番号,せばんごう
是非,ぜひ
背広,せびろ
蝉,せみ
セメント,せめんと
ゼリー,ぜりー
セルロイド,せるろいど
セロハン,せろはん
世話,せわ
千,せん
膳,ぜん
善悪,ぜんあく
繊維,せんい
船員,せんいん
全員,ぜんいん
全快,ぜんかい
前期,ぜんき
選挙,せんきょ
先月,せんげつ
宣言,せんげん
戦後,せんご
前後,ぜんご
専攻,せんこう
線香花火,せんこうはなび
全国,ぜんこく
洗剤,せんざい
先日,せんじつ
前日,ぜんじつ
選手,せんしゅ
先週,せんしゅう
選出,せんしゅつ
染色体,せんしょくたい
全身,ぜんしん
先進国,せんしんこく
扇子,せんす
潜水艇,せんすいてい
先生,せんせい
戦前,せんぜん
先先月,せんせんげつ
先先週,せんせんしゅう
先祖,せんぞ
戦争,せんそう
全速力,ぜんそくりょく
センター,せんたー
仙台,せんだい
全体,ぜんたい
洗濯,せんたく
洗濯機,せんたくき
洗濯物,せんたくもの
先達て,せんだって
センチ,せんち
センチメートル,せんちめーとる
船長,せんちょう
前提,ぜんてい
宣伝,せんでん
先頭,せんとう
船頭,せんどう
栓抜き,せんぬき
先輩,せんぱい
千羽鶴,せんばづる
旋盤,せんばん
前半,ぜんはん
全般,ぜんぱん
全部,ぜんぶ
扇風機,せんぷうき
煎餅,せんべい
全滅,ぜんめつ
洗面,せんめん
洗面器,せんめんき
洗面所,せんめんじょ
専門,せんもん
専門家,せんもんか
染料,せんりょう
全力,ぜんりょく
線路,せんろ
草,そう
象,ぞう
相違,そうい
騒音,そうおん
造花,ぞうか
総会,そうかい
象係,ぞうがかり
双眼鏡,そうがんきょう
送金,そうきん
雑巾,ぞうきん
草原,そうげん
増減,ぞうげん
倉庫,そうこ
相互,そうご
総合,そうごう
捜査,そうさ
創作,そうさく
掃除,そうじ
葬式,そうしき
掃除機,そうじき
掃除道具,そうじどうぐ
操縦,そうじゅう
蔵相,ぞうしょう
装飾,そうしょく
送信,そうしん
総数,そうすう
走性,そうせい
造船,ぞうせん
造船所,ぞうせんじょ
早早,そうそう
想像,そうぞう
早退,そうたい
増大,ぞうだい
相談,そうだん
装置,そうち
送電,そうでん
相当,そうとう
騒動,そうどう
遭難,そうなん
雑煮,ぞうに
相場,そうば
総理,そうり
総理大臣,そうりだいじん
創立,そうりつ
総領事,そうりょうじ
ソウル,そうる
添え,そえ
ソース,そーす
ソーセージ,そーせーじ
促音,そくおん
俗語,ぞくご
促進,そくしん
速達,そくたつ
測定,そくてい
速度,そくど
束縛,そくばく
側面,そくめん
測量,そくりょう
速力,そくりょく
ソケット,そけっと
底,そこ
其処ら中,そこらじゅう
蔬菜,そさい
組織,そしき
素質,そしつ
訴訟,そしょう
祖先,そせん
育ち,そだち
卒園,そつえん
卒業,そつぎょう
卒業式,そつぎょうしき
ソックス,そっくす
そっぽ,そっぽ
袖,そで
外,そと
外側,そとがわ
外回り,そとまわり
供え,そなえ
そのうち,そのうち
そのまま,そのまま
そば,そば
祖父,そふ
ソファー,そふぁー
ソフトクリーム,そふとくりーむ
祖母,そぼ
そぼく,そぼく
染め,そめ
染め粉,そめこ
染め物,そめもの
空,そら
空色,そらいろ
反り,そり
それきり,それきり
それぞれ,それぞれ
ソ連,それん
揃い,そろい
損,そん
損害,そんがい
尊敬,そんけい
存在,そんざい
損失,そんしつ
尊重,そんちょう
ダース,だーす
鯛,たい
第,だい
体育,たいいく
体育館,たいいくかん
第一,だいいち
退院,たいいん
対応,たいおう
体温,たいおん
体温計,たいおんけい
大家,たいか
大会,たいかい
大概,たいがい
大会社,だいがいしゃ
体格,たいかく
退学,たいがく
大学,だいがく
大学生,だいがくせい
大企業,だいきぎょう
代議士,だいぎし
大規模,だいきぼ
第九条,だいきゅうじょう
大金,たいきん
代金,だいきん
大工,だいく
待遇,たいぐう
退屈,たいくつ
大工道具,だいくどうぐ
大群,たいぐん
体系,たいけい
体験,たいけん
太鼓,たいこ
対抗,たいこう
大根,だいこん
滞在,たいざい
対策,たいさく
大使,たいし
退治,たいじ
大事,だいじ
大使館,たいしかん
大資本,だいしほん
大衆,たいしゅう
体重,たいじゅう
大将,たいしょう
大小,だいしょう
退職,たいしょく
大臣,だいじん
大豆,だいず
体制,たいせい
大西洋,たいせいよう
体積,たいせき
大戦,たいせん
体操,たいそう
体操服,たいそうふく
大体,だいたい
橙,だいだい
橙色,だいだいいろ
対談,たいだん
隊長,たいちょう
帯電,たいでん
態度,たいど
大統領,だいとうりょう
台所,だいどころ
大都市,だいとし
体内,たいない
台無し,だいなし
ダイナマイト,だいなまいと
第二,だいに
大脳,だいのう
代表,だいひょう
代表者,だいひょうしゃ
タイプ,たいぷ
大部,だいぶ
たいふう,たいふう
大仏様,だいぶつさま
大部分,だいぶぶん
タイプライター,たいぷらいたー
太平洋,たいへいよう
逮捕,たいほ
大砲,たいほう
題名,だいめい
代名詞,だいめいし
タイヤ,たいや
鯛焼き,たいやき
ダイヤモンド,だいやもんど
ダイヤル,だいやる
太陽,たいよう
代用,だいよう
大洋州,たいようしゅう
代理,だいり
大陸,たいりく
対立,たいりつ
大量,たいりょう
体力,たいりょく
タイル,たいる
台湾,たいわん
田植え,たうえ
タオル,たおる
鷹,たか
互い,たがい
高さ,たかさ
たかとび,たかとび
高橋,たかはし
たから,たから
宝物,たからもの
蛇管,だかん
滝,たき
薪,たきぎ
焚き火,たきび
妥協,だきょう
宅,たく
沢庵,たくあん
濁音,だくおん
タクシー,たくしー
宅配,たくはい
巧み,たくみ
丈,たけ
打撃,だげき
竹細工,たけざいく
妥結,だけつ
たけのこ,たけのこ
竹ひご,たけひご
竹薮,たけやぶ
凧,たこ
凧揚げ,たこあげ
蛸焼き,たこやき
足し,たし
足し算,たしざん
多少,たしょう
多数,たすう
多数決,たすうけつ
多数党,たすうとう
ただ,ただ
駄駄,だだ
ただいま,ただいま
ただいまあ,ただいまあ
たたかい,たたかい
たたき,たたき
だだっこ,だだっこ
畳,たたみ
立ち入り禁止,たちいりきんし
立場,たちば
駝鳥,だちょう
竜,たつ
卓球,たっきゅう
宅急便,たっきゅうびん
タック,たっく
抱っこ,だっこ
脱線,だっせん
脱退,だったい
タッチ,たっち
手綱,たづな
竜巻,たつまき
たて,たて
縦書き,たてがき
鬣,たてがみ
縦笛,たてぶえ
建て前,たてまえ
建物,たてもの
妥当,だとう
たとえ,たとえ
炭団,たどん
棚,たな
田中,たなか
谷,たに
谷川,たにがわ
他人,たにん
狸,たぬき
種,たね
種蒔き,たねまき
楽しみ,たのしみ
頼み,たのみ
束,たば
タバコ屋,たばこや
度,たび
旅人,たびびと
多分,たぶん
食べ過ぎ,たべすぎ
食べ物,たべもの
他方,たほう
多忙,たぼう
たま,たま
玉入れ,たまいれ
騙かし,だまかし
たまご,たまご
玉転がし,たまころがし
騙し,だまし
たましい,たましい
玉手箱,たまてばこ
玉止め,たまどめ
玉葱,たまねぎ
玉結び,たまむすび
ダム,だむ
為,ため
駄目,だめ
溜め息,ためいき
ためし,ためし
他面,ためん
袂,たもと
便り,たより
盥,たらい
多量,たりょう
樽,たる
垂れ,たれ
束子,たわし
俵,たわら
段,だん
単位,たんい
単一,たんいつ
単位面積,たんいめんせき
胆液,たんえき
短歌,たんか
タンカー,たんかー
段階,だんかい
短気,たんき
タンク,たんく
団結,だんけつ
たんけん,たんけん
探検隊,たんけんたい
単語,たんご
団子,だんご
炭坑,たんこう
たんざく,たんざく
炭酸,たんさん
男子,だんし
短縮,たんしゅく
単純,たんじゅん
短所,たんしょ
男女,だんじょ
誕生,たんじょう
誕生会,たんじょうかい
誕生日,たんじょうび
箪笥,たんす
ダンス,だんす
断水,だんすい
炭水化物,たんすいかぶつ
炭水車,たんすいしゃ
単数,たんすう
男性,だんせい
単線,たんせん
炭素,たんそ
炭素原子,たんそげんし
単体,たんたい
団体,だんたい
段段,だんだん
段段畑,だんだんばたけ
団地,だんち
単調,たんちょう
探偵,たんてい
断定,だんてい
炭田,たんでん
担当,たんとう
担任,たんにん
蛋白質,たんぱくしつ
タンバリン,たんばりん
ダンプカー,だんぷかー
田圃,たんぼ
だんぼう,だんぼう
段ボール,だんぼーる
だんろ,だんろ
地位,ちい
地域,ちいき
地域社会,ちいきしゃかい
チーズ,ちーず
チーム,ちーむ
ちえ,ちえ
地下,ちか
違い,ちがい
地下街,ちかがい
近く,ちかく
近頃,ちかごろ
地下室,ちかしつ
地下鉄,ちかてつ
地下道,ちかどう
近道,ちかみち
力,ちから
力瘤,ちからこぶ
力持ち,ちからもち
地球,ちきゅう
地球儀,ちきゅうぎ
蓄音器,ちくおんき
蓄積,ちくせき
竹輪,ちくわ
地形,ちけい
チケット,ちけっと
遅刻,ちこく
知事,ちじ
知識,ちしき
地上,ちじょう
知人,ちじん
地図,ちず
馳走,ちそう
地帯,ちたい
父,ちち
父親,ちちおや
縮み,ちぢみ
地中,ちちゅう
秩序,ちつじょ
窒素,ちっそ
窒素肥料,ちっそひりょう
ちっぽけ,ちっぽけ
ちのう,ちのう
ちび,ちび
ちびっこ,ちびっこ
乳房,ちぶさ
地平線,ちへいせん
地方,ちほう
地方自治,ちほうじち
地名,ちめい
チャイム,ちゃいむ
茶色,ちゃいろ
着,ちゃく
着手,ちゃくしゅ
着色,ちゃくしょく
着席,ちゃくせき
着陸,ちゃくりく
チャック,ちゃっく
茶摘み,ちゃつみ
茶の間,ちゃのま
茶の湯,ちゃのゆ
茶目,ちゃめ
茶碗,ちゃわん
チャンス,ちゃんす
チャンネル,ちゃんねる
ちゃんばら,ちゃんばら
チャンピオン,ちゃんぴおん
中,ちゅう
注意,ちゅうい
中央,ちゅうおう
中華,ちゅうか
宙返り,ちゅうがえり
中学,ちゅうがく
中学生,ちゅうがくせい
中学校,ちゅうがっこう
中間,ちゅうかん
忠義,ちゅうぎ
中級,ちゅうきゅう
中位,ちゅうくらい
忠告,ちゅうこく
中国,ちゅうごく
中国語,ちゅうごくご
中国人,ちゅうごくじん
中止,ちゅうし
忠実,ちゅうじつ
注射,ちゅうしゃ
駐車場,ちゅうしゃじょう
中旬,ちゅうじゅん
中傷,ちゅうしょう
ちゅうしょく,ちゅうしょく
中心,ちゅうしん
中枢,ちゅうすう
中世,ちゅうせい
鋳造,ちゅうぞう
躊躇,ちゅうちょ
中途,ちゅうと
中毒,ちゅうどく
中途半端,ちゅうとはんぱ
中年,ちゅうねん
チューブ,ちゅーぶ
中部,ちゅうぶ
中腹,ちゅうふく
注目,ちゅうもく
ちゅうもん,ちゅうもん
中立,ちゅうりつ
チューリップ,ちゅーりっぷ
中流,ちゅうりゅう
中和,ちゅうわ
町,ちょう
調印,ちょういん
長音,ちょうおん
超過,ちょうか
朝会,ちょうかい
朝刊,ちょうかん
長期,ちょうき
調教,ちょうきょう
彫刻,ちょうこく
彫刻家,ちょうこくか
彫刻刀,ちょうこくとう
調査,ちょうさ
調子,ちょうし
長者,ちょうじゃ
長所,ちょうしょ
長女,ちょうじょ
頂上,ちょうじょう
朝食,ちょうしょく
聴診器,ちょうしんき
調整,ちょうせい
調節,ちょうせつ
朝鮮,ちょうせん
頂戴,ちょうだい
蝶蝶,ちょうちょ
蝶蝶,ちょうちょう
提灯,ちょうちん
頂点,ちょうてん
超特急,ちょうとっきゅう
町内会,ちょうないかい
長男,ちょうなん
重宝,ちょうほう
長方形,ちょうほうけい
調味料,ちょうみりょう
丁目,ちょうめ
帳面,ちょうめん
調理員,ちょうりいん
朝礼,ちょうれい
調和,ちょうわ
チョーク,ちょーく
千代紙,ちよがみ
貯金,ちょきん
直接,ちょくせつ
直線,ちょくせん
直流,ちょくりゅう
チョコレート,ちょこれーと
著者,ちょしゃ
著書,ちょしょ
貯水池,ちょすいち
貯蓄,ちょちく
直角,ちょっかく
直径,ちょっけい
散らし,ちらし
塵,ちり
塵紙,ちりがみ
散り散り,ちりぢり
塵取り,ちりとり
治療,ちりょう
ちろう,ちろう
賃,ちん
ちんぎん,ちんぎん
ちんどん屋,ちんどんや
チンパンジー,ちんぱんじー
沈没,ちんぼつ
沈黙,ちんもく
陳列,ちんれつ
ツアー,つあー
対,つい
追加,ついか
追跡,ついせき
衝立,ついたて
序で,ついで
追突,ついとつ
追放,ついほう
墜落,ついらく
通,つう
通過,つうか
通学,つうがく
通勤,つうきん
通行,つうこう
通行止め,つうこうどめ
通常,つうじょう
通信,つうしん
通知,つうち
ツーピース,つーぴーす
通訳,つうやく
通用,つうよう
通路,つうろ
杖,つえ
つかい,つかい
つかいかた,つかいかた
つかえ,つかえ
つかみ,つかみ
疲れ,つかれ
月,つき
次,つぎ
付き合い,つきあい
突き当たり,つきあたり
付き添い,つきそい
次次,つぎつぎ
月の輪熊,つきのわぐま
継ぎ接ぎ,つぎはぎ
月日,つきひ
月見,つきみ
継ぎ目,つぎめ
机,つくえ
つくり,つくり
作り方,つくりかた
告げ口,つげぐち
漬け菜,つけな
付け髭,つけひげ
漬物,つけもの
都合,つごう
辻,つじ
伝え,つたえ
土,つち
筒,つつ
つっかい棒,つっかいぼう
続き,つづき
包み,つつみ
包み紙,つつみがみ
綴り,つづり
務め,つとめ
勤め先,つとめさき
綱,つな
繋がり,つながり
繋ぎ,つなぎ
つなひき,つなひき
綱渡り,つなわたり
常,つね
角,つの
角笛,つのぶえ
唾,つば
唾,つばき
つばきやま,つばきやま
燕,つばくろ
翼,つばさ
燕,つばめ
粒,つぶ
潰し,つぶし
壷,つぼ
つぼみ,つぼみ
妻,つま
爪先,つまさき
つまみ,つまみ
摘み食い,つまみぐい
つまり,つまり
摘み,つみ
積み木,つみき
積み荷,つみに
頭,つむり
爪,つめ
爪切り,つめきり
積もり,つもり
艶,つや
露,つゆ
強がり,つよがり
強気,つよき
強さ,つよさ
釣り,つり
釣り合い,つりあい
吊革,つりかわ
釣銭,つりせん
つりばし,つりばし
釣堀,つりぼり
蔓,つる
連れ,つれ
聾,つんぼ
手足,てあし
手当,てあて
手洗い,てあらい
提案,ていあん
ティーバッグ,てぃーばっぐ
定員,ていいん
庭園,ていえん
低温,ていおん
定価,ていか
定期,ていき
定期券,ていきけん
定休日,ていきゅうび
提供,ていきょう
抵抗,ていこう
体裁,ていさい
停止,ていし
停車,ていしゃ
停車場,ていしゃじょう
提出,ていしゅつ
定食,ていしょく
ディスク,でぃすく
訂正,ていせい
定着,ていちゃく
停電,ていでん
程度,ていど
ていねい,ていねい
堤防,ていぼう
出入り,でいり
出入り口,でいりぐち
停留所,ていりゅうじょ
手入れ,ていれ
テープ,てーぷ
テーブル,てーぶる
テーブルクロス,てーぶるくろす
ておくれ,ておくれ
手桶,ておけ
てがかり,てがかり
手数,てかず
手形,てがた
手紙,てがみ
手柄,てがら
敵,てき
出来,でき
出来上がり,できあがり
適応,てきおう
てきか,てきか
出来事,できごと
テキスト,てきすと
適切,てきせつ
出来立て,できたて
適用,てきよう
手際,てぎわ
出口,でぐち
手首,てくび
てこ,てこ
手頃,てごろ
デザート,でざーと
デザイン,でざいん
手先,てさき
手探り,てさぐり
手提げ,てさげ
手触り,てざわり
弟子,でし
手品,てじな
でしゃばり,でしゃばり
手順,てじゅん
手数,てすう
手数料,てすうりょう
テスト,てすと
手摺,てすり
出初め式,でぞめしき
手助け,てだすけ
出鱈目,でたらめ
手違い,てちがい
手帳,てちょう
鉄,てつ
哲学,てつがく
手掴み,てづかみ
鉄管,てっかん
手つき,てつき
鉄橋,てっきょう
鉄筋,てっきん
手作り,てづくり
鉄鉱,てっこう
鉄材,てつざい
鉄製,てつせい
手続き,てつづき
徹底,てってい
鉄道,てつどう
出っ張り,でっぱり
鉄板,てっぱん
鉄瓶,てつびん
天辺,てっぺん
鉄棒,てつぼう
鉄砲,てっぽう
徹夜,てつや
テトラポット,てとらぽっと
テニス,てにす
手荷物,てにもつ
手拭,てぬぐい
掌,てのひら
デパート,でぱーと
手配,てはい
手筈,てはず
出張り,でばり
手引き,てびき
手拍子,てびょうし
手袋,てぶくろ
デフレ,でふれ
手本,てほん
手間,てま
手前,てまえ
出前,でまえ
出任せ,でまかせ
手招き,てまねき
てまり,てまり
出迎え,でむかえ
てもと,てもと
寺,てら
テラス,てらす
照り,てり
デリー,でりー
照る照る坊主,てるてるぼうず
テレビ,てれび
テレビ局,てれびきょく
手分け,てわけ
天,てん
電圧,でんあつ
電位,でんい
店員,てんいん
田園,でんえん
天下,てんか
殿下,でんか
展開,てんかい
電界,でんかい
天気,てんき
電気,でんき
天気雨,てんきあめ
電気スタンド,でんきすたんど
電気掃除機,でんきそうじき
電気分解,でんきぶんかい
電球,でんきゅう
天気予報,てんきよほう
転勤,てんきん
天狗,てんぐ
典型,てんけい
点検,てんけん
電源,でんげん
天候,てんこう
電光板,でんこうばん
天国,てんごく
伝言板,でんごんばん
天才,てんさい
天使,てんし
点字,てんじ
電子,でんし
電子配置,でんしはいち
電車,でんしゃ
天井,てんじょう
電子ライター,でんしらいたー
電信柱,でんしんばしら
点数,てんすう
伝説,でんせつ
点線,てんせん
電線,でんせん
伝染病,でんせんびょう
電卓,でんたく
電池,でんち
電柱,でんちゅう
点滴,てんてき
天手古舞,てんてこまい
でんでん虫,でんでんむし
テント,てんと
電灯,でんとう
天道虫,てんとうむし
天然,てんねん
天皇,てんのう
電波,でんぱ
天秤,てんびん
てんぷく,てんぷく
澱粉,でんぷん
電報,でんぽう
展望台,てんぼうだい
天文学,てんもんがく
天文台,てんもんだい
展覧会,てんらんかい
電流,でんりゅう
電力,でんりょく
電話,でんわ
電話帳,でんわちょう
電話番号,でんわばんごう
電話ボックス,でんわぼっくす
ドア,どあ
度合い,どあい
樋,とい
砥石,といし
ドイツ語,どいつご
問屋,といや
トイレ,といれ
塔,とう
胴,どう
答案,とうあん
答案用紙,とうあんようし
同意,どうい
統一,とういつ
同一,どういつ
投影,とうえい
同化,どうか
東海道,とうかいどう
とうがらし,とうがらし
同感,どうかん
陶器,とうき
動機,どうき
闘牛,とうぎゅう
闘牛士,とうぎゅうし
東京,とうきょう
東京都,とうきょうと
道具,どうぐ
峠,とうげ
統計,とうけい
登校,とうこう
動作,どうさ
東西,とうざい
父様,とうさま
父さん,とうさん
父さん狐,とうさんきつね
父さん狸,とうさんたぬき
投資,とうし
当時,とうじ
同士,どうし
同時,どうじ
当日,とうじつ
投書,とうしょ
登場,とうじょう
同情,どうじょう
同数,どうすう
統制,とうせい
同性,どうせい
当選,とうせん
同窓,どうそう
銅像,どうぞう
同窓会,どうそうかい
灯台,とうだい
到達,とうたつ
到着,とうちゃく
父ちゃん,とうちゃん
同点,どうてん
道徳,どうとく
盗難,とうなん
盗難防止,とうなんぼうし
導入,どうにゅう
当人,とうにん
当番,とうばん
投票,とうひょう
豆腐,とうふ
東部,とうぶ
同封,どうふう
動物,どうぶつ
動物園,どうぶつえん
東北,とうほく
冬眠,とうみん
透明,とうめい
同盟,どうめい
灯油,とうゆ
東洋,とうよう
童謡,どうよう
当用漢字,とうようかんじ
道理,どうり
当量,とうりょう
動力,どうりょく
道路,どうろ
灯篭,とうろう
道路管理部,どうろかんりぶ
登録,とうろく
道路工事,どうろこうじ
討論,とうろん
童話,どうわ
十,とお
十日,とおか
遠く,とおく
通し,とおし
トースト,とーすと
通せん坊,とおせんぼ
トーテムポール,とーてむぽーる
ドーナツ,どーなつ
とおまわり,とおまわり
通り,とおり
通り雨,とおりあめ
都会,とかい
尖り,とがり
土管,どかん
時,とき
度胸,どきょう
徒競争,ときょうそう
得,とく
毒,どく
得意,とくい
独裁,どくさい
独裁者,どくさいしゃ
特産,とくさん
読者,どくしゃ
特殊,とくしゅ
読書,どくしょ
特色,とくしょく
独身,どくしん
独占,どくせん
戸口,とぐち
特長,とくちょう
特定,とくてい
特売,とくばい
読本,とくほん
毒薬,どくやく
特有,とくゆう
独立,どくりつ
とぐろ,とぐろ
とげ,とげ
床,とこ
床の間,とこのま
床屋,とこや
ところ,ところ
所所,ところどころ
登山,とざん
とし,とし
年上,としうえ
年越し,としこし
年頃,としごろ
年下,としした
年月,としつき
戸締まり,とじまり
土砂崩れ,どしゃくずれ
